PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-03-22,13:05:18.98,1,1,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Vergara, Roger",816188,Left,JUD,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.74626,1.564451,-4.710263,2180.050842,259.598078,2:45,4.21588,1.9067,6.44769,-31.90061,4.01717,15.32599,3.0001,-1.15356,79.53123,-4.416614,-1.944175,0.431346,,,,,,,,,,,,-9.63375,1.87256,-1.57962,50,4.31249,9.92232,-127.15596,2.5137,-15.64031,28.11811,-29.13398,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,4e468520-2611-11f1-8309-a18dfb133ce5,87.38323,,,8.21502,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:05:18.98,2026-03-22T13:05:18.9838848-04:00,2026-03-22T17:05:18.9838848Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,5a2ca070-62aa-452e-a4f3-aafa461e6960,54.05382,-128.04925,14.05906,4.21793,3.43926,-14.56699,-1.90274,10.4192,-7.82016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,246.138347,27.036964,1941.8006,0.890713,2:15,-0.504614,-0.801866,-0.319963,-66.179242,-32.342524,73.566722,163.631541,70.281228,0.095085,0.94136,-0.323728,71.022192,5.456204,0.94136,0.095085,0.323728,-71.022192,-5.456204,-0.94136,-0.095085,0.323728,-163.631541,-70.281228,-0.095085,-0.94136,-0.323728,,,
2,2026-03-22,13:05:33.53,1,2,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Vergara, Roger",816188,Left,JUD,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.73534,0.058074,-4.177139,2149.604764,261.166317,2:45,4.21911,1.97949,6.35956,-32.90411,4.02579,17.67599,1.53069,-0.39859,78.59835,-6.101352,-0.98484,0.437382,,,,,,,,,,,,-10.49678,2.45236,-1.68451,50,4.20814,8.49558,-125.72972,-0.90281,-16.62553,27.9972,-28.28982,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,57085760-2611-11f1-8309-a18dfb133ce5,86.17747,,,8.137,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:05:33.53,2026-03-22T13:05:33.5357952-04:00,2026-03-22T17:05:33.5357952Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,ba0c1d85-7c8f-4b48-9ef6-c52e81461688,54.13899,-126.64802,13.9986,4.22254,0.02509,-14.14491,-1.97211,9.0409,-8.31277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,248.606449,24.526565,1955.643559,0.909769,2:15,-0.439041,-0.846662,-0.300677,-65.9841,-27.494667,75.736893,167.289402,74.289785,0.059577,0.962643,-0.264136,74.656427,3.415537,0.962643,0.059577,0.264136,-74.656427,-3.415537,-0.962643,-0.059577,0.264136,-167.289402,-74.289785,-0.059577,-0.962643,-0.264136,,,
3,2026-03-22,13:05:48.23,1,3,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Vergara, Roger",816188,Left,JUD,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.34507,0.057427,-4.447848,2118.610515,259.890655,2:45,4.21366,1.94791,6.49318,-32.69415,4.34583,17.27422,1.54202,-0.70381,78.35543,-6.075675,-1.322225,0.438033,,,,,,,,,,,,-10.37579,2.6389,-1.6427,50,4.20363,9.07689,-125.16013,-0.86853,-16.31334,27.34297,-28.02506,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,5fbc9510-2611-11f1-8309-a18dfb133ce5,86.04934,,,7.98964,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:05:48.23,2026-03-22T13:05:48.2329088-04:00,2026-03-22T17:05:48.2329088Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,3bbaefb9-f1cb-4b0d-8df4-ab6a5205b897,54.00525,-126.03209,13.67148,4.21707,0.02519,-14.01253,-1.94046,9.59712,-8.15667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,247.345079,31.310093,1810.07155,0.854367,2:15,-0.544413,-0.787924,-0.287732,-70.775913,-26.275225,73.367362,173.122042,70.749515,0.039483,0.944086,-0.327326,70.877959,2.262799,0.944086,0.039483,0.327326,-70.877959,-2.262799,-0.944086,-0.039483,0.327326,-173.122042,-70.749515,-0.039483,-0.944086,-0.327326,,,
4,2026-03-22,13:06:03.80,1,4,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Vergara, Roger",816188,Left,JUD,Undefined,1,Top,0,2,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.35608,-0.129782,-4.121262,2202.342899,263.715923,2:45,4.15961,2.06215,6.49842,-33.08498,3.31055,18.09757,1.28309,-0.2191,78.79777,-6.344333,-0.843034,0.434206,63.93264,-19.538338,62.086618,,,,,7.26938,4.13137,37.693097,0.055139,-10.89733,2.11835,-1.78109,50,4.13615,8.44133,-126.62686,-1.30044,-17.39685,29.89943,-28.79224,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,691ace60-2611-11f1-8309-a18dfb133ce5,86.80781,1.73425,,8.55831,,,,3.46447,1.73425,0.12632,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:06:03.80,2026-03-22T13:06:03.8013440-04:00,2026-03-22T17:06:03.8013440Z,GroundBall,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,c6a37a2a-fa3d-4130-a7aa-e9bf9ecea060,54.00068,-127.56802,14.94972,4.16282,-0.39414,-14.39612,-2.05542,8.98893,-8.69843,,3.46338,41.49108,,,,,,,,1.73508,-31.45242,,,,,,,,0.12427,78.31878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,247.277983,27.709373,1949.772858,0.885318,2:15,-0.486514,-0.817659,-0.307795,-81.448721,-24.328772,74.656403,167.479359,74.279825,0.058737,0.962596,-0.264496,74.635818,3.367338,0.962596,0.058737,0.264496,-74.635818,-3.367338,-0.962596,-0.058737,0.264496,-167.479359,-74.279825,-0.058737,-0.962596,-0.264496,,,
5,2026-03-22,13:06:39.24,2,1,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Mummau, Sammy",1000116548,Right,JUD,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.92404,1.084998,-2.394885,2383.703036,108.540006,9:30,4.67045,1.69019,5.8907,-43.51931,4.09756,-7.51067,2.05225,-1.16063,70.13301,-6.964042,-3.740841,0.496651,,,,,,,,,,,,3.10177,2.27272,-1.49294,50,4.73324,4.94455,-111.56983,0.79083,3.8772,21.63107,-29.33317,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,7e357c50-2611-11f1-8309-a18dfb133ce5,75.89314,,,6.79103,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:06:39.24,2026-03-22T13:06:39.2432128-04:00,2026-03-22T17:06:39.2432128Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,2e629420-c9c2-4060-bb21-96abe9335cb8,54.60577,-112.45925,10.81554,4.67593,1.99694,-14.66659,-1.69297,4.78513,1.9386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,110.435821,74.03711,655.553386,0.275015,9:45,-0.959565,0.275866,-0.055976,21.926159,-37.109974,-6.208,140.820149,-54.910799,0.363166,-0.818258,-0.445605,61.428259,-21.29476,0.818258,-0.363166,0.445605,-61.428259,21.29476,-0.818258,0.363166,0.445605,-140.820149,54.910799,-0.363166,0.818258,-0.445605,,,
6,2026-03-22,13:06:56.20,2,2,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Mummau, Sammy",1000116548,Right,JUD,Undefined,1,Top,1,1,0,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.43801,0.384362,-3.591527,2134.905079,264.300604,2:45,4.24412,1.83008,6.35283,-33.22868,3.10331,18.45891,1.82954,0.05825,79.1611,-5.835696,-0.25484,0.433826,,,,,,,,,,,,-10.65926,1.89831,-1.57723,50,4.25689,7.21945,-126.81131,-0.21227,-17.16385,28.62989,-29.11736,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,88446800-2611-11f1-8309-a18dfb133ce5,86.88369,,,8.27691,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:06:56.20,2026-03-22T13:06:56.2035712-04:00,2026-03-22T17:06:56.2035712Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,3874f22d-6e58-4801-8ac7-c1867b28d5a6,54.14485,-127.74366,14.31494,4.24836,0.73595,-14.55868,-1.82144,7.77839,-8.58192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,246.161983,24.342968,1945.100085,0.911094,2:15,-0.440025,-0.830587,-0.341327,-71.303495,-27.485491,78.65328,175.883264,73.10847,0.020859,0.956857,-0.289811,73.149579,1.19522,0.956857,0.020859,0.289811,-73.149579,-1.19522,-0.956857,-0.020859,0.289811,-175.883264,-73.10847,-0.020859,-0.956857,-0.289811,,,
7,2026-03-22,13:07:14.48,2,3,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Mummau, Sammy",1000116548,Right,JUD,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.86331,0.104319,-0.505468,2544.941224,128.119574,10:15,4.62563,1.72527,5.6779,-32.81754,10.77627,-11.77603,1.98808,0.27272,73.18699,-6.00751,-2.611061,0.475208,,,,,,,,,,,,5.80339,5.89229,-1.67521,50,4.61413,1.50513,-117.28394,-0.82036,7.9721,25.03365,-24.07979,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,9333a190-2611-11f1-8309-a18dfb133ce5,79.31777,,,7.67633,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:07:14.48,2026-03-22T13:07:14.4889344-04:00,2026-03-22T17:07:14.4889344Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,bc59ec6e-5614-4696-93f9-0629accc8c5d,54.8176,-118.30777,12.51683,4.62754,0.16446,-12.0399,-1.7301,1.17909,3.98605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,152.585426,78.197792,520.526417,0.204534,11:00,-0.98025,0.095955,-0.172923,-14.414834,-25.098038,19.875399,131.975138,-61.480521,0.354959,-0.878655,-0.319327,70.027458,-20.790912,0.878655,-0.354959,0.319327,-70.027458,20.790912,-0.878655,0.354959,0.319327,-131.975138,61.480521,-0.354959,0.878655,-0.319327,,,
8,2026-03-22,13:07:35.72,2,4,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Mummau, Sammy",1000116548,Right,JUD,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.36412,-0.052691,-2.454285,2519.261654,133.248839,10:30,4.51479,1.6593,5.81832,-33.93372,11.18863,-10.20705,1.63795,-1.47456,71.90947,-6.375336,-4.280177,0.483467,,,,,,,,,,,,4.39134,6.21059,-1.45248,50,4.49073,5.32673,-115.01261,-1.13199,5.7987,24.15143,-23.97304,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,9fdc7200-2611-11f1-8309-a18dfb133ce5,77.96272,,,7.45466,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:07:35.72,2026-03-22T13:07:35.7212672-04:00,2026-03-22T17:07:35.7212672Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,fbb314f5-5287-4a6d-85a0-33c2f0a6edfb,54.67609,-115.99038,12.07572,4.51691,-0.16144,-11.98652,-1.66338,5.09197,2.89935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,136.407987,78.324353,509.825655,0.202371,10:30,-0.984815,0.138638,-0.104495,7.452094,-32.168719,13.714192,130.170997,-56.932036,0.416931,-0.838024,-0.351972,67.217462,-24.640974,0.838024,-0.416931,0.351972,-67.217462,24.640974,-0.838024,0.416931,0.351972,-130.170997,56.932036,-0.416931,0.838024,-0.351972,,,
9,2026-03-22,13:07:54.17,2,5,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Mummau, Sammy",1000116548,Right,JUD,Undefined,1,Top,1,2,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.34273,0.338524,-1.817735,2199.721073,232.997233,1:45,4.48715,1.71711,6.43613,-23.56887,11.43682,13.73603,2.83433,1.19077,80.7709,-4.121079,0.672276,0.425834,,,,,,,,,,,,-7.70615,6.2137,-1.59387,50,4.50048,3.54864,-128.44367,0.07054,-12.87283,26.61907,-21.79425,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,aad74450-2611-11f1-8309-a18dfb133ce5,88.51431,,,7.57183,,,,,,,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:07:54.17,2026-03-22T13:07:54.1739008-04:00,2026-03-22T17:07:54.1739008Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,178da6ca-5a33-4069-854c-1fe8428fc7aa,54.06283,-129.28292,13.30953,4.48742,0.75767,-10.89712,-1.71216,3.9545,-6.43642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,239.350461,18.809228,2082.250125,0.946597,2:00,-0.342366,-0.81244,-0.471939,-62.064719,31.301307,-3.420476,179.70757,-5.835308,0.005077,-0.101669,-0.994805,5.835383,-0.290915,0.101669,-0.005077,0.994805,-5.835383,0.290915,-0.101669,0.005077,0.994805,-179.70757,5.835308,-0.005077,0.101669,-0.994805,,,
10,2026-03-22,13:08:16.71,2,6,"Quezada, Adrian",1000376074,Right,QUN_RYL,"Mummau, Sammy",1000116548,Right,JUD,Undefined,1,Top,1,2,2,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.15868,0.858446,-2.116611,2466.240357,134.263066,10:30,4.61726,1.7198,5.85064,-30.49045,9.99705,-8.97481,2.87466,-0.99573,76.11001,-4.812928,-3.72324,0.457965,67.64931,28.868566,156.208158,3704.000586,,,,,37.86065,,,4.01358,5.24469,-1.54239,50,4.66923,4.81285,-120.73415,0.84742,5.91926,23.69067,-24.43917,QUN_RYL,JUD,StickWilliamsField,D1,ASUN,20260322-StickWilliamsField-1,b8451270-2611-11f1-8309-a18dfb133ce5,82.30426,19.52768,,7.04867,,,,1.3799,2.86996,0.93808,ab425a17-dfca-4e3e-86bf-dc5607f34da1,2026-03-22,17:08:16.71,2026-03-22T13:08:16.7172096-04:00,2026-03-22T17:08:16.7172096Z,,v3,queensnc,471326,1185c6934eda4b4cac07e99e5a7d21c9,"Marcantel, Charlie",10097007,Right,QUN_RYL,0c9b6e61-f0f7-4f61-8c71-3896322ca978,54.64754,-121.64268,11.84534,4.61876,1.78466,-12.21958,-1.72261,4.58585,2.95963,314.668552,1.38425,-79.6331,3.65961,,,,,,,2.88354,47.5101,-25.07657,,,,,,,0.94787,34.76839,-9.2636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,173.6379,77.233808,544.972689,0.220973,11:45,-0.98225,0.039095,-0.18346,-7.611041,-31.241147,14.71583,146.631331,-64.033319,0.240827,-0.899049,-0.365669,67.867036,-13.935367,0.899049,-0.240827,0.365669,-67.867036,13.935367,-0.899049,0.240827,0.365669,-146.631331,64.033319,-0.240827,0.899049,-0.365669,,,
