PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-13,15:03:08.82,1,1,"Bloomer, Evan",10118936,Right,LEE_UNI,"Hill, Jacob",1000397136,Right,DEL_STA,Undefined,1,Top,0,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,90.56516,-1.942751,-3.635987,2063.749148,229.748968,1:45,6.05244,1.48264,6.07113,-17.88615,16.62095,18.10225,2.75986,-0.37798,81.36504,-5.375778,-0.382953,0.422791,77.29872,-2.059764,-31.418965,4031.399414,,,,34.05015,34.05015,-30.224913,0.294677,-10.5767,9.58595,-1.2105,50,5.89231,7.57278,-131.11764,-4.97,-18.07802,32.42064,-15.78948,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,06dab3d0-0917-11f1-a43e-67a4a9f0d926,89.15145,2.82845,,9.20012,,,,2.28404,2.82845,0.35256,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:03:08.82,2026-02-13T15:03:08.8299008-05:00,2026-02-13T20:03:08.8299008Z,GroundBall,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,4c9fcbe0-c30c-4386-8bb9-e010b174379b,54.42772,-132.20791,16.21032,6.05052,-4.43901,-7.89474,-1.47539,8.18073,-9.03901,70.82313,2.28606,96.59495,-15.3291,,,,,,,2.83054,-4.1693,-18.47186,,,,,,,0.35388,-59.12106,-0.85495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,,228.327769,-1.438659,2063.098607,0.999685,1:30,0.008155,-0.745445,-0.666518,-21.813626,37.64959,45.496967,179.437833,10.056623,0.009661,0.174621,-0.984588,10.057097,0.553529,0.174621,0.009661,0.984588,-10.057097,-0.553529,-0.174621,-0.009661,0.984588,-179.437833,-10.056623,-0.009661,-0.174621,-0.984588,,,
2,2026-02-13,15:03:46.45,2,1,"Bloomer, Evan",10118936,Right,LEE_UNI,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.68661,0.458439,-1.613212,2119.919265,153.512589,11:00,6.16914,1.45271,5.13218,-44.28428,5.13461,-1.50744,2.9107,-0.19255,68.84281,-7.704479,-1.880071,0.505962,,,,,,,,,,,,0.11445,3.05599,-1.30016,50,6.17918,3.2238,-112.174,-0.61758,0.14057,27.10917,-28.42081,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,1d536b20-0917-11f1-a43e-67a4a9f0d926,74.4966,,,8.8438,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:03:46.45,2026-02-13T15:03:46.4576512-05:00,2026-02-13T20:03:46.4576512Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,885a1ae5-225a-407c-93a3-9df2d1da3359,55.35777,-113.46143,13.55459,6.17645,0.73214,-14.21041,-1.4531,3.21713,0.07029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,53.044145,80.238443,359.428679,0.169548,7:45,-0.981147,0.143367,0.129605,22.872506,45.702782,37.127615,138.347187,-29.492665,0.578494,-0.492312,-0.650365,37.124948,-35.344656,0.492312,-0.578494,0.650365,-37.124948,35.344656,-0.492312,0.578494,0.650365,-138.347187,29.492665,-0.578494,0.492312,-0.650365,,,
3,2026-02-13,15:04:03.08,2,2,"Bloomer, Evan",10118936,Right,LEE_UNI,"Jones, Tucker",1000496119,Right,DEL_STA,Undefined,1,Top,0,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,2,0,,79.27546,-0.208176,-2.659536,2094.768242,0.629112,6:00,6.12336,1.5047,5.35083,-49.35176,-3.24394,-0.05366,1.81524,-0.99604,72.00905,-9.191601,-2.669077,0.488718,88.53638,-8.204492,-11.339219,,,,,13.1476,12.42735,-6.249224,0.103502,-0.8385,-1.07264,-1.26514,50,6.06951,5.33554,-114.8171,-2.1356,-1.1012,24.46741,-33.58275,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,2736da00-0917-11f1-a43e-67a4a9f0d926,77.12505,1.75965,,7.26642,,,,0.3104,1.75965,1.1054,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:04:03.08,2026-02-13T15:04:03.0873088-05:00,2026-02-13T20:04:03.0873088Z,GroundBall,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,37537a52-e5fa-4f75-83d0-9b71c93f45a5,55.14775,-115.90889,12.23371,6.13137,-0.63707,-16.79138,-1.50432,5.38468,-0.5506,184.407482,0.31071,125.97595,-26.16479,,,,,,,1.75911,-18.46231,14.21624,,,,,,,1.10529,-25.25609,7.25426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,71.819054,84.205273,211.497717,0.100965,8:30,-0.992698,0.092309,0.077649,22.029898,61.903403,35.654785,152.935752,-21.726844,0.422667,-0.370182,-0.827235,24.108183,-25.003052,0.370182,-0.422667,0.827235,-24.108183,25.003052,-0.370182,0.422667,0.827235,-152.935752,21.726844,-0.422667,0.370182,-0.827235,,,
4,2026-02-13,15:04:38.49,3,1,"Bloomer, Evan",10118936,Right,LEE_UNI,"Greer, Cade",832545,Right,DEL_STA,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.83491,-2.400153,-3.85418,1317.159552,217.780093,1:15,6.11622,1.33948,6.41185,-29.57226,14.59548,9.96288,1.43883,-1.37924,71.69733,-8.006436,-2.052371,0.478326,,,,,,,,,,,,-6.48555,8.9552,-1.06749,50,5.93094,7.4095,-115.44481,-5.62376,-8.54486,26.2461,-20.37539,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,3c607c10-0917-11f1-a43e-67a4a9f0d926,78.80074,,,8.13758,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:04:38.49,2026-02-13T15:04:38.4997888-05:00,2026-02-13T20:04:38.4997888Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,0c95997a-8d6c-4298-a8ff-bf2c8ccd989f,54.08219,-116.36918,13.12305,6.11637,-4.90615,-10.1877,-1.33375,7.71044,-4.27243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,235.703471,-20.485387,1233.864331,0.936761,1:45,0.345726,-0.758554,-0.552331,-69.183102,-57.207702,46.777327,139.076218,14.056918,0.635439,0.242886,-0.732956,18.33408,39.45254,0.242886,0.635439,0.732956,-18.33408,-39.45254,-0.242886,-0.635439,0.732956,-139.076218,-14.056918,-0.635439,-0.242886,-0.732956,,,
5,2026-02-13,15:04:54.07,3,2,"Bloomer, Evan",10118936,Right,LEE_UNI,"Greer, Cade",832545,Right,DEL_STA,Undefined,1,Top,2,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.09557,-1.369764,-3.130092,2200.170343,220.291556,1:15,6.15789,1.49116,5.6944,-15.89147,18.09025,14.21627,3.55491,-0.24411,82.2535,-4.434222,-0.592601,0.41956,,,,,,,,,,,,-8.18524,9.97662,-1.23656,50,6.03296,6.61409,-133.2034,-3.64826,-14.38924,34.36282,-14.63569,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,45966ce0-0917-11f1-a43e-67a4a9f0d926,89.83801,,,9.84208,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:04:54.07,2026-02-13T15:04:54.0733440-05:00,2026-02-13T20:04:54.0733440Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,076cfcae-4708-4889-b88e-07c3b717fab9,54.79956,-134.43586,17.18141,6.15439,-3.12334,-7.31785,-1.48303,7.13018,-7.19462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,222.315993,6.724823,2185.033192,0.99312,1:30,-0.141033,-0.671195,-0.727741,126.145643,12.691568,-16.093664,170.536692,-12.072374,0.16078,-0.209147,-0.964576,12.233948,-9.25216,0.209147,-0.16078,0.964576,-12.233948,9.25216,-0.209147,0.16078,0.964576,-170.536692,12.072374,-0.16078,0.209147,-0.964576,,,
6,2026-02-13,15:05:10.35,3,3,"Bloomer, Evan",10118936,Right,LEE_UNI,"Greer, Cade",832545,Right,DEL_STA,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.52533,-1.013374,-1.486732,2195.369908,215.526449,1:15,6.20881,1.22693,5.4189,-14.88395,19.81107,13.18784,4.01878,0.93291,81.75104,-3.889487,0.858674,0.42394,,,,,,,,,,,,-7.05095,10.62686,-1.10403,50,6.10893,2.80316,-132.47314,-2.77192,-12.25868,34.00722,-13.69829,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,4f4a1930-0917-11f1-a43e-67a4a9f0d926,88.90974,,,9.77429,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:05:10.35,2026-02-13T15:05:10.3518208-05:00,2026-02-13T20:05:10.3518208Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,a1c7a744-ea9a-4b82-8e9b-fe83ee9c2e8e,55.07484,-133.76956,17.00361,6.20465,-2.24972,-6.84914,-1.21979,3.27048,-6.12934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.187669,3.286548,2191.759192,0.998355,1:15,-0.066225,-0.631739,-0.772347,127.9129,9.909273,-11.889147,168.038075,-11.397076,0.203175,-0.197607,-0.958995,11.643215,-11.722668,0.197607,-0.203175,0.958995,-11.643215,11.722668,-0.197607,0.203175,0.958995,-168.038075,11.397076,-0.203175,0.197607,-0.958995,,,
7,2026-02-13,15:05:28.34,3,4,"Bloomer, Evan",10118936,Right,LEE_UNI,"Greer, Cade",832545,Right,DEL_STA,Undefined,1,Top,2,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.75995,-0.770961,-0.598517,2132.988179,70.852744,8:15,5.96168,1.29627,5.28704,-47.11038,0.00362,-5.17158,1.31177,0.30324,71.04229,-9.37275,-1.5187,0.494022,,,,,,,,,,,,2.36602,0.82961,-1.23786,50,5.85752,1.40399,-114.03715,-3.1659,3.04166,25.6147,-31.10755,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,5a0b8c00-0917-11f1-a43e-67a4a9f0d926,76.29706,,,7.71766,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:05:28.34,2026-02-13T15:05:28.3427840-05:00,2026-02-13T20:05:28.3427840Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,c2000360-198c-4e3e-8e7b-dfe65dba184d,55.20898,-115.20124,12.80735,5.96928,-1.75219,-15.55378,-1.29852,1.26576,1.52083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,57.245924,80.009656,370.03549,0.173482,8:00,-0.985677,0.132634,0.104162,12.095446,58.565937,30.043435,145.667165,-27.741172,0.499173,-0.465478,-0.73086,32.492691,-29.945297,0.465478,-0.499173,0.73086,-32.492691,29.945297,-0.465478,0.499173,0.73086,-145.667165,27.741172,-0.499173,0.465478,-0.73086,,,
8,2026-02-13,15:05:47.43,3,5,"Bloomer, Evan",10118936,Right,LEE_UNI,"Greer, Cade",832545,Right,DEL_STA,Undefined,1,Top,2,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.6883,-2.229924,-3.857889,2176.682156,217.578804,1:15,6.21214,1.43543,6.03812,-15.52257,17.63737,12.58072,2.84808,-1.09376,82.90896,-5.235049,-1.600558,0.414456,,,,,,,,,,,,-7.70874,10.15749,-1.14039,50,6.02932,8.46778,-133.99869,-5.65134,-13.71965,34.66275,-14.09619,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,65608c40-0917-11f1-a43e-67a4a9f0d926,90.94441,,,9.77934,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:05:47.43,2026-02-13T15:05:47.4366464-05:00,2026-02-13T20:05:47.4366464Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,c0350431-199c-41b1-972c-f9e4b85cd8ae,54.45658,-135.1466,17.33138,6.20875,-5.18452,-7.04809,-1.42834,8.92213,-6.85983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,223.030555,1.756288,2175.659624,0.99953,1:30,-0.053236,-0.682744,-0.728716,1.762774,51.463943,74.330659,171.18099,-9.407733,0.151252,-0.163459,-0.974887,9.518238,-8.699469,0.163459,-0.151252,0.974887,-9.518238,8.699469,-0.163459,0.151252,0.974887,-171.18099,9.407733,-0.151252,0.163459,-0.974887,,,
9,2026-02-13,15:06:04.22,3,6,"Bloomer, Evan",10118936,Right,LEE_UNI,"Greer, Cade",832545,Right,DEL_STA,Undefined,1,Top,2,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,92.77406,-2.414359,-3.321032,2285.46934,215.725901,1:15,6.15311,1.17033,5.87915,-14.82024,18.54462,12.38497,2.67073,-0.88534,82.77529,-5.291193,-1.103427,0.415734,,,,,,,,,,,,-7.41744,10.65288,-0.90864,50,5.94921,7.21012,-134.10362,-6.06514,-13.1852,35.44949,-13.23752,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,6f636a00-0917-11f1-a43e-67a4a9f0d926,90.66469,,,9.99877,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:06:04.22,2026-02-13T15:06:04.2200000-05:00,2026-02-13T20:06:04.2200000Z,,v3,,,,"French, Isaiah",10050808,Right,LEE_UNI,64c597ad-1286-4a29-8127-8de6b3e85e2c,54.61506,-135.31809,17.72475,6.14922,-5.61164,-6.61876,-1.16339,7.66184,-6.5926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.67367,,,1.093018,,,,3.19834,5.13692,5.01656,82.39898,2.34069,-42.38197,3.21925,77.01465,-4.22826,5.15838,12.40574,-13.75882,4.97263,-50.22516,6.40509,High,High,High,,,High,Medium,Medium,219.695972,2.898366,2282.545767,0.998721,1:15,-0.068125,-0.639461,-0.7658,15.640534,46.151961,89.680201,173.616868,-11.858335,0.108804,-0.205493,-0.972592,11.930194,-6.24636,0.205493,-0.108804,0.972592,-11.930194,6.24636,-0.205493,0.108804,0.972592,-173.616868,11.858335,-0.108804,0.205493,-0.972592,,,
10,2026-02-13,15:08:00.68,1,1,"Byrd, Adrian",1000396965,Left,DEL_STA,"Franklin, Landon",1000077936,Right,LEE_UNI,Undefined,1,Bottom,0,0,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.11184,-1.66816,1.246727,1760.080533,148.610504,11:00,5.69469,-1.22671,5.96569,-19.59816,18.0991,-10.12004,2.51398,-0.91389,77.64785,-5.438426,-0.572302,0.441902,,,,,,,,,,,,5.48595,10.22544,1.13261,50,5.55141,-2.28805,-126.06527,-4.20131,8.60208,31.74972,-16.1403,LEE_UNI,DEL_STA,LeeUniversity,D2,Team,20260213-LeeUniversity-1,b4cdccc0-0917-11f1-a43e-67a4a9f0d926,85.29588,,,9.464,,,,,,,7741d6a0-3f28-4d85-a716-966d9a7b75ea,2026-02-13,20:08:00.68,2026-02-13T15:08:00.6882816-05:00,2026-02-13T20:08:00.6882816Z,,v3,,,,"Batts, Austin",10071282,Right,DEL_STA,0a273ffa-72be-4b39-ae9e-d520b888495d,54.52353,-127.19942,15.87486,5.69119,-3.62475,-8.07015,1.21983,-2.59533,4.30104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,145.274214,-9.96199,1733.543331,0.984923,10:45,0.174164,0.565859,-0.805897,20.463228,9.548188,-20.725699,174.203132,15.890544,0.097142,0.2738,-0.956868,15.968068,5.574634,0.2738,0.097142,0.956868,-15.968068,-5.574634,-0.2738,-0.097142,0.956868,-174.203132,-15.890544,-0.097142,-0.2738,-0.956868,,,
