PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-24,18:32:22.32,1,1,"McNeillie, Luke",703667,Right,FLA_GAT,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.28595,-3.894495,-3.933739,2376.54264,212.352374,1:00,6.05076,1.98212,5.66153,-14.00902,19.31871,11.40257,1.23753,-0.74166,83.48736,-6.600791,-1.902702,0.415503,,,,,,,,,,,,-7.08823,11.47343,-1.6562,50,5.71167,8.71925,-134.55854,-9.57501,-12.71914,34.99063,-11.58607,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,0fa716a0-11d9-11f1-982f-df61e4260c81,90.71517,,,9.79859,,,,,,,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:32:22.32,2026-02-24T18:32:22.3258624-05:00,2026-02-24T23:32:22.3258624Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,05ada5fe-2845-4a85-a16e-eeda80be9828,54.83313,-135.80954,17.49532,6.04659,-9.16078,-5.79303,-1.97606,9.17398,-6.35957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.832064,2.628092,2374.043011,0.998948,1:15,-0.054909,-0.641503,-0.765153,-11.441987,23.294108,52.974139,168.461617,8.835788,0.197651,0.153603,-0.968163,9.01507,11.399606,0.153603,0.197651,0.968163,-9.01507,-11.399606,-0.153603,-0.197651,0.968163,-168.461617,-8.835788,-0.197651,-0.153603,-0.968163,,,
2,2026-02-24,18:32:33.90,1,2,"McNeillie, Luke",703667,Right,FLA_GAT,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.45016,-3.5832,-3.770063,2367.971348,208.924063,1:00,6.1002,1.87475,5.688,-14.03564,19.88103,10.23788,1.57927,-0.79102,82.61268,-6.303696,-1.945254,0.419158,,,,,,,,,,,,-6.45288,11.67394,-1.56358,50,5.78936,8.31304,-133.39686,-8.75155,-11.36338,34.77117,-11.61656,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,168e3570-11d9-11f1-982f-df61e4260c81,89.92413,,,9.83748,,,,,,,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:32:33.90,2026-02-24T18:32:33.9044864-05:00,2026-02-24T23:32:33.9044864Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,7625a251-6ed3-4e59-9033-5f139c6232ed,54.80577,-134.6437,17.38558,6.09571,-8.335,-5.80828,-1.86898,8.72051,-5.68169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,219.282225,5.457282,2357.238238,0.995467,1:15,-0.106071,-0.634983,-0.76521,-10.432012,28.002443,51.375807,172.0651,7.921447,0.136731,0.137815,-0.980975,7.997037,7.858704,0.137815,0.136731,0.980975,-7.997037,-7.858704,-0.137815,-0.136731,0.980975,-172.0651,-7.921447,-0.136731,-0.137815,-0.980975,,,
3,2026-02-24,18:32:50.29,1,3,"McNeillie, Luke",703667,Right,FLA_GAT,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.95035,-1.441975,-2.664276,2273.150905,215.434287,1:15,6.08575,1.99653,5.51033,-11.98418,22.37509,14.95662,3.73688,0.74965,81.93799,-3.809707,-0.002577,0.421884,,,,,,,,,,,,-8.36115,12.08497,-1.77398,50,5.95221,5.46938,-132.97829,-3.63385,-14.62537,34.66233,-11.03499,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,20531fd0-11d9-11f1-982f-df61e4260c81,89.34307,,,10.01236,,,,,,,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:32:50.29,2026-02-24T18:32:50.2957568-05:00,2026-02-24T23:32:50.2957568Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,1494793d-510c-48e3-9e6e-f782227a177b,54.98271,-134.2708,17.33117,6.08005,-3.22236,-5.5175,-1.98809,6.01474,-7.31268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,220.812471,7.031592,2256.054092,0.992479,1:15,-0.140856,-0.651545,-0.745419,-1.74542,42.433919,61.719056,178.241897,-8.897303,0.030311,-0.154664,-0.987502,8.901426,-1.736942,0.154664,-0.030311,0.987502,-8.901426,1.736942,-0.154664,0.030311,0.987502,-178.241897,8.897303,-0.030311,0.154664,-0.987502,,,
4,2026-02-24,18:33:02.21,1,4,"McNeillie, Luke",703667,Right,FLA_GAT,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.99497,-2.874608,-3.865928,2287.424042,221.569517,1:30,6.11691,1.8117,5.65344,-13.83205,20.42426,16.89965,2.27489,-0.391,82.08776,-5.569393,-0.854857,0.421252,,,,,,,,,,,,-9.79607,11.67386,-1.49429,50,5.8642,8.18003,-132.81915,-7.04866,-17.10199,34.46379,-11.7938,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,27715430-11d9-11f1-982f-df61e4260c81,89.47725,,,9.90721,,,,,,,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:33:02.21,2026-02-24T18:33:02.2134272-05:00,2026-02-24T23:33:02.2134272Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,3172b718-9483-47cc-bb98-797eb0a7c4b2,54.84043,-134.06926,17.23189,6.11211,-6.62086,-5.8969,-1.80226,8.80038,-8.55099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,218.777727,2.36613,2285.473807,0.999147,1:15,-0.062344,-0.62705,-0.77648,-0.763098,38.902951,62.274999,178.056181,-12.919974,0.033061,-0.22359,-0.974122,12.927163,-1.89459,0.22359,-0.033061,0.974122,-12.927163,1.89459,-0.22359,0.033061,0.974122,-178.056181,12.919974,-0.033061,0.22359,-0.974122,,,
5,2026-02-24,18:33:12.85,1,5,"McNeillie, Luke",703667,Right,FLA_GAT,"Rasmussen, Cooper",10285998,Left,FLO_PAN,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.66859,-1.152962,-2.019809,2307.794383,225.173481,1:30,6.06896,1.88073,5.48789,-15.76635,18.23202,16.94824,3.67565,1.4027,82.23846,-4.197553,0.99786,0.419663,,,,,,,,,,,,-9.15563,9.93949,-1.71513,50,5.95775,3.90137,-134.01369,-3.16765,-16.17431,36.67605,-14.61497,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,2dc6e160-11d9-11f1-982f-df61e4260c81,89.81604,,,10.43013,,,,,,,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:33:12.85,2026-02-24T18:33:12.8574464-05:00,2026-02-24T23:33:12.8574464Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,16db9c4d-07ac-4bb0-9ab3-3f3a3a0c98e8,55.00453,-135.37637,18.33803,6.06536,-2.62464,-7.30748,-1.87125,4.50232,-8.08716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,220.359186,4.626498,2300.274855,0.996742,1:15,-0.094383,-0.64696,-0.756661,1.423709,40.106137,63.174717,179.21499,-13.416007,0.013327,-0.23202,-0.97262,13.417221,-0.763587,0.23202,-0.013327,0.97262,-13.417221,0.763587,-0.23202,0.013327,0.97262,-179.21499,13.416007,-0.013327,0.23202,-0.97262,,,
6,2026-02-24,18:33:41.54,2,1,"McNeillie, Luke",703667,Right,FLA_GAT,"Fischer, Samuel",824663,Left,FLO_PAN,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.1756,0.718599,-3.517161,2420.510274,357.051705,6:00,5.92359,2.39716,4.64385,-44.74207,-1.17142,0.16496,2.87927,-0.93552,73.52564,-7.43943,-3.488301,0.475082,,,,,,,,,,,,-1.57595,-0.21602,-2.03698,50,5.95754,7.43297,-121.06429,-0.28063,-2.2245,34.37321,-32.479,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,3ee163d0-11d9-11f1-982f-df61e4260c81,79.33883,,,10.64996,,,,,,,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:33:41.54,2026-02-24T18:33:41.5413760-05:00,2026-02-24T23:33:41.5413760Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,f8a59202-7779-43f7-873d-cc1eec4813e1,55.84412,-122.71237,17.1866,5.93366,1.27662,-16.2395,-2.39592,7.53963,-1.11225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,300.740784,81.218134,369.5467,0.152673,4:00,-0.983193,-0.118816,0.138617,26.908872,23.627385,62.578567,128.832314,-43.298207,0.56694,-0.685796,-0.456358,56.358465,-34.537143,0.685796,-0.56694,0.456358,-56.358465,34.537143,-0.685796,0.56694,0.456358,-128.832314,43.298207,-0.56694,0.685796,-0.456358,,,
7,2026-02-24,18:33:54.45,2,2,"McNeillie, Luke",703667,Right,FLA_GAT,"Fischer, Samuel",824663,Left,FLO_PAN,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.70786,-2.350743,-2.731645,2281.933256,221.232019,1:15,6.03154,2.04698,5.70212,-13.39253,21.02576,17.20426,2.72137,0.93342,81.59839,-4.978242,0.341581,0.422246,,,,,,,,,,,,-9.61252,11.84938,-1.82827,50,5.82608,5.52274,-132.57701,-5.78342,-16.65735,35.30872,-11.64049,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,469325a0-11d9-11f1-982f-df61e4260c81,89.26646,,,10.10947,,,,,,,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:33:54.45,2026-02-24T18:33:54.4555008-05:00,2026-02-24T23:33:54.4555008Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,3014f023-a5c9-4e6c-a392-13a6a0809e8b,54.79147,-133.84702,17.65436,6.02657,-5.36473,-5.82025,-2.03769,6.12188,-8.32867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,217.981095,7.029392,2264.781113,0.992484,1:15,-0.134395,-0.615281,-0.776767,-8.820508,29.08938,42.951911,175.613382,12.247996,0.074745,0.212143,-0.974376,12.282889,4.286583,0.212143,0.074745,0.974376,-12.282889,-4.286583,-0.212143,-0.074745,0.974376,-175.613382,-12.247996,-0.074745,-0.212143,-0.974376,,,
8,2026-02-24,18:34:08.03,2,3,"McNeillie, Luke",703667,Right,FLA_GAT,"Fischer, Samuel",824663,Left,FLO_PAN,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.28707,-1.850099,-3.73852,2254.398905,212.242046,1:00,6.0293,2.01399,5.54586,-10.44067,23.76529,14.1191,3.426,-0.30811,82.03543,-3.948236,-1.228707,0.420942,73.00231,66.857406,-109.62621,4750.869077,,,,,34.75375,,,-8.42079,13.00682,-1.69942,50,5.86247,8.04717,-133.30957,-4.53406,-14.76502,35.50958,-9.36789,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,4ea90070-11d9-11f1-982f-df61e4260c81,89.54303,75.11027,,10.25164,,,,0.9707,3.52168,0.27849,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:34:08.03,2026-02-24T18:34:08.0333824-05:00,2026-02-24T23:34:08.0333824Z,,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,fb2bd83a-20b3-4783-9e1b-f90976dce4eb,54.94877,-134.62132,17.75479,6.02357,-4.18801,-4.68395,-2.00677,8.5926,-7.38251,26.988641,0.9707,-14.13417,-8.52051,4.36446,-1.40532,0.39377,-0.10189,0.02138,-0.00256,3.52168,98.45392,-31.30174,4.11792,-0.62511,0.05721,0.00283,-0.00299,0.00047,0.27849,-39.63597,14.07979,-4.42104,1.12503,-0.26515,0.06081,-0.01161,0.00138,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,219.819032,5.335805,2244.630099,0.995667,1:15,-0.12207,-0.64026,-0.758397,-13.581564,39.26243,48.635038,177.382643,-5.814339,0.045431,-0.101305,-0.993818,5.820369,-2.603882,0.101305,-0.045431,0.993818,-5.820369,2.603882,-0.101305,0.045431,0.993818,-177.382643,5.814339,-0.045431,0.101305,-0.993818,,,
9,2026-02-24,18:34:26.81,2,4,"McNeillie, Luke",703667,Right,FLA_GAT,"Fischer, Samuel",824663,Left,FLO_PAN,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,0,,82.41478,0.591716,-2.420696,2419.977737,29.459672,7:00,5.93736,2.31258,5.16119,-44.23105,-1.33382,-1.60913,2.8089,-0.10131,74.65343,-7.463808,-2.705515,0.471396,84.10522,13.493213,-23.507582,3387.808688,97.24541,15.13837,-51.41326,188.37362,188.37362,-31.211117,1.993306,0.02736,-0.42346,-2.08531,50,5.95881,5.11432,-119.34989,-0.39573,0.0389,26.06205,-32.77604,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,59e52180-11d9-11f1-982f-df61e4260c81,79.95915,15.38199,,7.76135,,,,0.84219,2.71285,0.15761,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:34:26.81,2026-02-24T18:34:26.8125696-05:00,2026-02-24T23:34:26.8125696Z,LineDrive,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,e2930f83-1716-48d3-98b6-f58cadc3f432,55.33646,-120.50955,13.03102,5.94397,1.06269,-16.38802,-2.31284,5.11259,0.01945,107.692507,0.84219,109.99433,-20.333,3.96832,-0.80177,0.1265,-0.01972,0.00274,-0.00022,2.71285,28.78224,-17.55725,1.5004,-0.19057,0.02907,-0.00168,-2E-05,-3E-05,0.15761,-47.84425,-3.23102,2.33135,-0.78871,0.20377,-0.0428,0.00647,-0.00046,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,349.447002,79.994348,420.459817,0.173745,5:45,-0.976973,-0.021649,0.21226,6.061529,50.570739,39.793729,128.566749,-33.844463,0.649394,-0.55694,-0.517788,47.086362,-40.495958,0.55694,-0.649394,0.517788,-47.086362,40.495958,-0.55694,0.649394,0.517788,-128.566749,33.844463,-0.649394,0.55694,-0.517788,,,
10,2026-02-24,18:35:01.19,3,1,"McNeillie, Luke",703667,Right,FLA_GAT,"Ildefonso, Andrew",10074340,Right,FLO_PAN,Undefined,1,Top,0,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,82.77175,1.092537,-2.650876,2372.526202,9.168967,6:15,5.92225,2.18265,4.66841,-48.51829,-4.99347,-1.06323,2.91803,-0.42564,74.65206,-7.655117,-2.83731,0.474832,101.53872,-10.332314,-21.446883,,,,,20.54509,19.39966,-19.045531,0.123962,-0.35839,-2.40193,-1.91132,50,5.98953,5.58963,-119.69317,0.36289,-0.51031,27.09119,-35.59404,FLA_GAT,FLO_PAN,CondronBallpark,D1,SEC,20260224-CondronBallpark-1,6e5ba030-11d9-11f1-982f-df61e4260c81,79.38057,3.26672,,8.1197,,,,2.6379,3.26672,0.1255,6595ea86-512e-45f4-a4c7-2180d29311a1,2026-02-24,23:35:01.19,2026-02-24T18:35:01.1961344-05:00,2026-02-24T23:35:01.1961344Z,GroundBall,v3,471297,4468,67610277503f4b208fc71b9e654f5219,"Bowen, Karson",702710,Right,FLA_GAT,15022945-3a3e-4258-922f-5388d4de8e5f,55.82976,-121.00548,13.5456,5.93019,2.08707,-17.79702,-2.18268,5.61434,-0.25515,138.392897,2.63784,136.36955,-7.93549,,,,,,,3.26668,-26.70674,2.86172,,,,,,,0.1256,-53.57932,-12.24582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,329.637536,79.474192,433.409294,0.182678,5:00,-0.976411,-0.073575,0.202999,28.557229,37.506979,61.850604,134.70265,-40.50347,0.540443,-0.649494,-0.534863,50.528309,-32.713832,0.649494,-0.540443,0.534863,-50.528309,32.713832,-0.649494,0.540443,0.534863,-134.70265,40.50347,-0.540443,0.649494,-0.534863,,,
