PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-02-28,16:48:07.87,1,1,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Long, Tyman",10276466,Right,NOR_BIS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.93971,-1.67891,2.116301,2274.035671,155.887839,11:15,5.48078,-1.50703,6.34356,-14.60694,19.66391,-8.26918,2.71643,-0.24697,81.44967,-4.520985,0.620718,0.421341,,,,,,,,,,,,4.91177,11.06319,1.35665,50,5.3514,-4.47949,-130.49489,-4.17372,8.39093,29.84296,-13.27447,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,8d46c8a0-14f7-11f1-9d47-ad81a36dfdfe,89.45822,,,8.49004,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:48:07.87,2026-02-28T16:48:07.8731264-06:00,2026-02-28T22:48:07.8731264Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,45ccff5c-b3da-47f5-8b66-c0453300884c,54.15254,-131.4411,14.92148,5.47706,-3.75283,-6.63723,1.50289,-4.74554,4.19546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-02-28,16:48:25.96,1,2,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Long, Tyman",10276466,Right,NOR_BIS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,89.94859,-2.487316,2.560408,2279.540699,159.801469,11:15,5.48134,-1.53422,6.4246,-13.59044,20.61328,-7.14445,2.05876,0.22548,81.50944,-5.144394,1.267022,0.420928,96.81886,69.262018,-0.12959,,,,,,46.08598,,,4.52394,11.88973,1.35474,50,5.29744,-5.55027,-130.45232,-5.9822,7.71853,29.98095,-11.88832,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,980be4f0-14f7-11f1-9d47-ad81a36dfdfe,89.54601,134.14433,,8.43915,,,,1.77595,2.30297,-0.24778,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:48:25.96,2026-02-28T16:48:25.9671552-06:00,2026-02-28T22:48:25.9671552Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,e2de9734-74d7-41e5-a7db-6280e56910e9,54.07349,-131.38517,14.99047,5.47782,-5.6123,-5.94416,1.53117,-5.79042,3.85927,,1.77592,50.28748,-19.73473,6.74419,-3.84636,4.02917,-3.14411,1.34382,-0.23645,2.30297,132.79884,-31.49851,3.96986,-0.12177,-0.92652,0.88176,-0.39182,0.06955,-0.24777,-0.11674,6.47519,-2.72211,1.84704,-2.05392,1.62024,-0.69401,0.12216,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.67216,21.12467,-16.98267
3,2026-02-28,16:49:01.04,2,1,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Corbin, Caleb",1000136863,Right,NOR_BIS,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.63632,0.415028,2.457089,2480.978379,238.628624,2:00,5.44053,-1.63157,5.39297,-40.57841,2.76709,2.02,2.44833,0.84094,73.90608,-7.031989,2.815968,0.473853,,,,,,,,,,,,-0.22425,1.74382,1.41069,50,5.44951,-5.15851,-118.23307,-0.56296,-0.313,25.49046,-29.7402,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,ad0639a0-14f7-11f1-9d47-ad81a36dfdfe,79.54463,,,7.73025,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:49:01.04,2026-02-28T16:49:01.0494464-06:00,2026-02-28T22:49:01.0494464Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,815b3372-b771-4e25-932a-2bfcb10de2ab,55.10316,-119.32821,12.74523,5.44625,0.71476,-14.8701,1.63202,-5.14507,-0.1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-02-28,16:49:18.39,2,2,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Corbin, Caleb",1000136863,Right,NOR_BIS,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.97579,2.412064,1.899281,2378.61158,347.287545,5:30,5.37796,-1.67694,5.82704,-64.6074,-12.92095,3.30197,2.23887,0.36448,67.59233,-9.410424,2.491619,0.51744,,,,,,,,,,,,-1.09193,-6.79394,1.5198,50,5.53731,-3.67763,-107.33491,2.51061,-1.25978,20.49286,-40.01237,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,b75c6780-14f7-11f1-9d47-ad81a36dfdfe,72.84411,,,6.38345,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:49:18.39,2026-02-28T16:49:18.3940096-06:00,2026-02-28T22:49:18.3940096Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,bf9d40bc-8ed2-4914-9371-20ba5840f7bc,54.67526,-108.22385,10.24643,5.39075,4.24627,-20.00619,1.67814,-3.62298,-0.62989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-02-28,16:49:36.14,2,3,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Corbin, Caleb",1000136863,Right,NOR_BIS,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.55822,-0.73068,2.764058,2253.449793,162.047726,11:30,5.52931,-1.50793,6.25446,-14.7445,18.50907,-5.62048,3.62598,0.57458,82.69278,-3.594126,1.750332,0.415041,,,,,,,,,,,,3.73835,10.12571,1.30508,50,5.46745,-6.16783,-132.76947,-2.06414,6.60041,31.30904,-14.29609,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,c1e209d0-14f7-11f1-9d47-ad81a36dfdfe,90.81627,,,8.86545,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:49:36.14,2026-02-28T16:49:36.1459712-06:00,2026-02-28T22:49:36.1459712Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,0f66da04-c7ff-4769-8134-ea8059848d7e,54.24073,-133.76576,15.65452,5.5259,-1.60922,-7.14804,1.50469,-6.37786,3.30021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-02-28,16:49:56.16,2,4,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Corbin, Caleb",1000136863,Right,NOR_BIS,Undefined,1,Top,1,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.33039,-0.929693,3.27376,2545.517174,303.712462,4:00,5.36071,-1.7133,5.65265,-43.73849,-0.49539,2.98795,0.84725,1.59234,74.09421,-8.929992,3.807199,0.473293,,,,,,,,,,,,-0.47508,0.51606,1.43373,50,5.25437,-6.85771,-117.79284,-3.40087,-0.65873,25.12118,-31.45849,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,cde57280-14f7-11f1-9d47-ad81a36dfdfe,79.63875,,,7.23618,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:49:56.16,2026-02-28T16:49:56.1686016-06:00,2026-02-28T22:49:56.1686016Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,ec364534-474a-4d35-8f69-b0d0c1c0028b,54.84505,-118.82163,12.56059,5.36726,-2.11255,-15.72925,1.71402,-6.83074,-0.32936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-28,16:50:33.65,3,1,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Becker, Colten",1000192822,Left,NOR_BIS,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.10026,-4.322772,2.547144,2312.013077,157.522248,11:15,5.53797,-1.47583,6.18097,-13.21119,20.711,-8.05248,0.43365,0.20682,82.31501,-6.89253,1.095784,0.419192,,,,,,,,,,,,4.97925,12.45957,1.28737,50,5.20391,-5.52517,-131.76471,-10.28725,8.63317,31.60129,-10.5713,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,e44f35b0-14f7-11f1-9d47-ad81a36dfdfe,89.91684,,,8.78525,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:50:33.65,2026-02-28T16:50:33.6507904-06:00,2026-02-28T22:50:33.6507904Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,59e7663c-6d4b-4813-807d-b00fc1fc130d,54.31641,-132.79588,15.80064,5.53396,-9.9423,-5.28565,1.47226,-5.80688,4.31658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-28,16:50:52.54,3,2,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Becker, Colten",1000192822,Left,NOR_BIS,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.12165,1.644148,2.418428,2415.986082,307.237861,4:15,5.42165,-1.58243,5.51417,-45.45054,-1.77114,4.33335,3.17331,1.04145,73.44644,-6.693182,3.189666,0.475674,,,,,,,,,,,,-1.39835,-0.88748,1.36867,50,5.53514,-5.14303,-117.49859,1.78511,-1.92899,25.0133,-33.39833,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,ef744c50-14f7-11f1-9d47-ad81a36dfdfe,79.23999,,,7.67521,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:50:52.54,2026-02-28T16:50:52.5454848-06:00,2026-02-28T22:50:52.5454848Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,ace0ff97-191a-4c69-a200-aaaad1104dd6,54.98258,-118.55454,12.50665,5.43002,3.19505,-16.69917,1.58407,-5.06159,-0.96449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-28,16:51:11.95,3,3,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Becker, Colten",1000192822,Left,NOR_BIS,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.241,-2.055864,3.286789,2343.724804,163.391319,11:30,5.50259,-1.36424,6.39351,-11.07662,22.35623,-6.30902,2.68476,1.1363,82.27181,-4.264906,2.146925,0.416158,,,,,,,,,,,,4.27807,12.57505,1.13044,50,5.34884,-7.32195,-132.17552,-4.9467,7.47217,31.50728,-10.21024,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,fb1808d0-14f7-11f1-9d47-ad81a36dfdfe,90.57248,,,8.96919,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:51:11.95,2026-02-28T16:51:11.9575552-06:00,2026-02-28T22:51:11.9575552Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,ea06c458-ccdf-44d0-909e-d27a27c39279,54.10109,-133.14953,15.75364,5.49688,-4.63107,-5.10512,1.36036,-7.55294,3.73608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-02-28,16:51:30.84,3,4,"Kehlenbrink, Brady",815650,Left,MIZ_TIG,"Becker, Colten",1000192822,Left,NOR_BIS,Undefined,1,Top,2,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.05226,2.531831,1.473274,2432.909365,314.257343,4:30,5.44158,-1.50094,5.47387,-46.6864,-1.70701,3.38516,3.92262,0.16012,72.2341,-6.043626,2.07562,0.482701,,,,,,,,,,,,-1.21449,-1.12181,1.36919,50,5.63295,-3.12192,-115.92167,3.50617,-1.62874,24.58435,-33.67851,MIZ_TIG,NOR_BIS,TaylorStadium,D1,SEC,20260228-TaylorStadium-2,063dbbb0-14f8-11f1-9d47-ad81a36dfdfe,78.08651,,,7.81816,,,,,,,1fa80f13-d93e-49a6-97f0-7762eeb242e9,2026-02-28,22:51:30.84,2026-02-28T16:51:30.8493824-06:00,2026-02-28T22:51:30.8493824Z,,v3,4806,471388,ae4075840dfa411e9b4d026302d1ad63,"Serna, Mateo",806219,Right,MIZ_TIG,24293833-1f3a-4887-a2d5-d9526757138c,55.02254,-116.98199,12.29218,5.4504,4.95872,-16.83926,1.50232,-3.05167,-0.81437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
